,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
0,ASUS,Celeron,Intel,Celeron Dual,,4.0,DDR4,0,1024,Windows,64,0,Casual,15.6,1,No,No,311.87,350.87,11,3.8,15279,1947
1,ASUS,VivoBook,Intel,Core i3,10th,8.0,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,493.87,662.87,25,4.3,990,108
2,ASUS,Vivobook,Intel,Core i3,10th,8.0,DDR4,0,1024,Windows,64,0,Casual,14.1,1,No,No,427.57,610.87,30,3.9,28,4
3,HP,Core,Intel,Core i3,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,558.87,745.29,25,4.4,158,18
4,HP,Core,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,714.87,912.223,21,4.2,116,15
5,Lenovo,IdeaPad,Intel,Core i3,10th,8.0,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,467.87,744.77,37,4.0,2124,233
6,HP,15s,AMD,Ryzen 3,,8.0,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,Yes,545.987,627.822,13,4.3,3524,432
7,ASUS,Core,Intel,Core i3,11th,4.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,447.577,649.87,31,4.1,37,6
8,DELL,Vostro,Intel,Core i3,10th,8.0,DDR4,256,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,539.37,712.1659999999999,24,5.0,7,5
9,Lenovo,IdeaPad,Intel,Core i3,10th,8.0,DDR4,256,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,493.87,753.87,34,4.3,2080,235
10,HP,Core,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,701.87,912.223,23,4.1,206,17
11,HP,Ryzen,AMD,Ryzen 3,,8.0,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,493.87,598.7149999999999,17,4.3,2214,241
12,HP,Pavilion,AMD,Ryzen 5,,8.0,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,No,753.87,912.236,17,4.5,4740,532
13,Lenovo,Ideapad,Intel,Core i5,11th,8.0,DDR4,512,0,Windows,64,0,Casual,14.0,2,No,Yes,688.87,967.0699999999999,28,4.2,300,24
14,ASUS,VivoBook,Intel,Core i3,11th,4.0,DDR4,256,0,Windows,32,0,Casual,15.6,1,No,Yes,467.87,649.87,28,4.3,1479,181
15,DELL,Vostro,AMD,Ryzen 3,,8.0,DDR4,0,1024,Windows,64,0,ThinNlight,14.0,1,No,Yes,467.87,658.463,28,4.1,59,12
16,ASUS,VivoBook,Intel,Core i3,10th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,441.73999999999995,610.87,27,4.4,67,3
17,HP,Pavilion,Intel,Core i5,11th,16.0,DDR4,512,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,883.87,1017.822,13,4.5,108,6
18,HP,Core,Intel,Core i3,11th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,519.87,651.105,20,4.2,273,30
19,APPLE,2020,Apple,M1 Processor,,8.0,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,1117.87,1207.7,7,4.7,6725,629
20,ASUS,VivoBook,Intel,Pentium Silver,,4.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,389.87,506.87,23,4.0,36,3
22,ASUS,VivoBook,Intel,Core i7,10th,16.0,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,753.87,1052.87,28,4.3,76,9
23,HP,Core,Intel,Core i3,11th,8.0,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,558.87,644.67,13,4.3,681,59
24,Lenovo,IdeaPad,Intel,Celeron Dual,,4.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,415.98699999999997,506.98699999999997,17,4.0,286,19
25,DELL,Vostro,Intel,Core i3,10th,8.0,DDR4,256,0,Windows,64,0,ThinNlight,14.0,1,No,Yes,513.37,563.0559999999999,8,4.3,1267,171
